# Instance space size:   729 (6 attributes, 18 propositions)
# Training set size..:   124 (17.0 %)
# Validation set size:   126 (17.3 %)
# Imbalance ratio....:    53+ : 71- (42.7 %)

# NB   98.4 (0.981,0.986) 0.983
# ID3  99.2 (1.000,0.986) 0.993
# MLP  98.4 (0.981,0.986) 0.983
# ECL 100.0 (1.000,1.000) 1.000

# Runs   Time  Accuracy  G-measure  F-measure    TPR    TNR

     1    0.3      99.2      0.993      0.991  1.000  0.986
     1    0.1     100.0      1.000      1.000  1.000  1.000
     1    0.4      99.2      0.993      0.991  1.000  0.986
     1    0.1      99.2      0.993      0.991  1.000  0.986
     1    0.1      98.4      0.986      0.982  1.000  0.972
     1    0.2      98.4      0.986      0.982  1.000  0.972
     1    0.2      98.4      0.986      0.982  1.000  0.972
     1    0.3      97.6      0.979      0.973  1.000  0.958
     1    0.3      98.4      0.986      0.982  1.000  0.972
     1    0.3      99.2      0.993      0.991  1.000  0.986
     1    0.2      99.2      0.993      0.991  1.000  0.986
     1    0.3      99.2      0.993      0.991  1.000  0.986
     1    0.3      99.2      0.991      0.991  0.981  1.000
     1    0.3      99.2      0.993      0.991  1.000  0.986
     1    0.3      96.8      0.972      0.964  1.000  0.944
     1    0.4      98.4      0.986      0.982  1.000  0.972
     1    0.3     100.0      1.000      1.000  1.000  1.000
     1    0.3     100.0      1.000      1.000  1.000  1.000
     1    0.3      99.2      0.993      0.991  1.000  0.986
     1    0.1      99.2      0.993      0.991  1.000  0.986
# Runs   Time  Accuracy  G-measure  F-measure    TPR    TNR

# Runs   Time  Accuracy  G-measure  F-measure    TPR    TNR

     1    0.3      99.2      0.993      0.991  1.000  0.986
     1    0.2      99.2      0.993      0.991  1.000  0.986
     1    0.3      99.2      0.993      0.991  1.000  0.986
     1    0.2     100.0      1.000      1.000  1.000  1.000
     1    0.1      96.0      0.965      0.956  1.000  0.931
# Runs   Time  Accuracy  G-measure  F-measure    TPR    TNR

     1    0.4      99.2      0.993      0.991  1.000  0.986
     1    0.2     100.0      1.000      1.000  1.000  1.000
     1    0.2      99.2      0.993      0.991  1.000  0.986
     1    0.2      99.2      0.993      0.991  1.000  0.986
     1    0.4      96.8      0.972      0.964  1.000  0.944
# Runs   Time  Accuracy  G-measure  F-measure    TPR    TNR

     1    0.2      99.2      0.993      0.991  1.000  0.986
     1    0.4     100.0      1.000      1.000  1.000  1.000
     1    0.2      99.2      0.993      0.991  1.000  0.986
     1    0.2      98.4      0.986      0.982  1.000  0.972
     1    0.3      99.2      0.993      0.991  1.000  0.986
# Runs   Time  Accuracy  G-measure  F-measure    TPR    TNR

     1    0.3     100.0      1.000      1.000  1.000  1.000
     1    0.1      98.4      0.986      0.982  1.000  0.972
     1    0.3      99.2      0.993      0.991  1.000  0.986
     1    0.4      99.2      0.993      0.991  1.000  0.986
     1    0.5     100.0      1.000      1.000  1.000  1.000
