# Instance space size: 505440 (9 attributes, 51 propositions)
# Training set size..:    222 (0.0 %)
# Validation set size:     55 (0.0 %)
# Imbalance ratio....:     65+ : 157- (29.3 %)

# NB  69.1 (0.821,0.375) 0.555           
# ID3 52.7 (0.694,0.286) 0.446
# MLP 65.5 (0.718,0.500) 0.599
# ECL 69.1 (0.562,0.744) 0.647 <==

# Runs   Time  Accuracy  G-measure  F-measure    TPR    TNR

     1  101.9      56.4      0.563      0.429  0.562  0.564
     1  110.5      69.1      0.647      0.514  0.562  0.744
     1  143.0      52.7      0.439      0.278  0.312  0.615
     1  116.6      61.8      0.519      0.364  0.375  0.718
     1  103.8      65.5      0.645      0.513  0.625  0.667
     1  117.5      52.7      0.497      0.350  0.438  0.564
     1  124.5      60.0      0.540      0.389  0.438  0.667
     1  115.4      58.2      0.576      0.439  0.562  0.590
     1  121.2      56.4      0.490      0.333  0.375  0.641
     1  125.5      47.3      0.410      0.256  0.312  0.538
     1  126.1      52.7      0.497      0.350  0.438  0.564
     1  115.9      58.2      0.530      0.378  0.438  0.641
     1  118.3      67.3      0.658      0.526  0.625  0.692
     1  112.4      54.5      0.480      0.324  0.375  0.615
     1  117.5      52.7      0.497      0.350  0.438  0.564
     1  131.5      56.4      0.519      0.368  0.438  0.615
     1  141.0      60.0      0.566      0.421  0.500  0.641
     1  123.5      61.8      0.577      0.432  0.500  0.667
     1  125.7      58.2      0.530      0.378  0.438  0.641
     1  105.5      58.2      0.555      0.410  0.500  0.615
