# Instance space size:  1728 (6 attributes, 21 propositions)
# Training set size..:  1382 (80.0 %)
# Validation set size:   346 (20.0 %)
# Imbalance ratio....:   414+ : 968- (30.0 %)

# NB  93.4 (0.942,0.913) 0.927
# ID3 94.8 (0.975,1.000) 0.987
# MLP 98.8 (0.983,1.000) 0.991
# ECL 96.5 (1.000,0.950) 0.975 (3)

# Runs   Time  Accuracy  G-measure  F-measure    TPR    TNR

     1  202.0      95.1      0.964      0.924  1.000  0.930
     1  206.6      95.7      0.969      0.933  1.000  0.938
     1  213.0      96.5      0.975      0.945  1.000  0.950
     1  212.8      96.2      0.973      0.941  1.000  0.946
     1  238.6      96.2      0.973      0.941  1.000  0.946
     1  236.9      96.5      0.975      0.945  1.000  0.950
     1  215.1      93.6      0.953      0.904  1.000  0.909
     1  210.6      96.2      0.973      0.941  1.000  0.946
     1  221.7      95.7      0.969      0.933  1.000  0.938
     1  194.8      93.1      0.949      0.897  1.000  0.901
     1  225.5      96.5      0.975      0.945  1.000  0.950
     1  213.7      97.1      0.976      0.954  0.990  0.963
     1  253.5      95.4      0.961      0.927  0.981  0.942
     1  225.4      95.7      0.969      0.933  1.000  0.938
     1  206.1      94.8      0.960      0.920  0.990  0.930
     1  196.8      92.8      0.945      0.892  0.990  0.901
     1  227.3      97.4      0.981      0.959  1.000  0.963
     1  227.0      96.5      0.975      0.945  1.000  0.950
     1  235.3      96.5      0.975      0.945  1.000  0.950
     1  262.4      92.8      0.947      0.893  1.000  0.897
