# Instance space size: 103079215104 (36 attributes, 73 propositions)
# Training set size..:  2557 (0.0 %)
# Validation set size:   639 (0.0 %)
# Imbalance ratio....:  1335+ : 1222- (52.2 %)

# NB  89.7 (0.916,0.875) 0.895
# ID3 99.5 (0.995,0.997) 0.996
# MLP 99.1 (0.985,0.997) 0.991
# ECL 98.0 (0.976,0.984) 0.980 (3)


# Runs   Time  Accuracy  G-measure  F-measure    TPR    TNR

     1  479.9      97.5      0.975      0.976  0.973  0.977
     1  462.5      95.6      0.955      0.959  0.976  0.934
     1  491.2      96.9      0.969      0.970  0.967  0.970
     1  497.5      98.0      0.980      0.980  0.976  0.984
     1  472.9      95.8      0.957      0.960  0.976  0.938
     1  517.7      97.3      0.974      0.974  0.967  0.980
     1  483.6      97.5      0.975      0.976  0.973  0.977
     1  526.1      95.6      0.955      0.959  0.976  0.934
     1  497.1      97.3      0.973      0.975  0.973  0.974
     1  511.9      97.7      0.977      0.977  0.973  0.980
     1  464.2      97.5      0.975      0.976  0.973  0.977
     1  502.1      95.6      0.955      0.959  0.976  0.934
     1  467.5      97.7      0.977      0.977  0.973  0.980
     1  463.9      97.2      0.972      0.973  0.964  0.980
     1  442.0      97.5      0.975      0.976  0.973  0.977
     1  502.7      95.6      0.955      0.959  0.976  0.934
     1  537.8      97.5      0.975      0.976  0.973  0.977
     1  598.7      97.2      0.972      0.973  0.970  0.974
     1  586.2      97.2      0.972      0.973  0.973  0.970
     1  518.9      95.1      0.951      0.954  0.967  0.934
