# Instance space size: 559872 (11 attributes, 42 propositions)
# Training set size..:  1066 (0.2 %)
# Validation set size:  1066 (0.2 %)
# Imbalance ratio....:    43+ : 1023- (4.0 %)

# NB  92.2 (0.651,0.934) 0.779
# ID3 97.9 (0.674,0.992) 0.817
# MLP 97.8 (0.651,0.992) 0.803
# ECL 91.8 (0.953,0.917) 0.935 <==

# Runs   Time  Accuracy  G-measure  F-measure    TPR    TNR

     1  207.8      92.3      0.926      0.494  0.930  0.923
     1  213.2      88.3      0.926      0.402  0.977  0.879
     1  207.8      88.8      0.919      0.408  0.953  0.886
     1  193.5      89.6      0.912      0.419  0.930  0.894
     1  204.4      91.8      0.935      0.485  0.953  0.917
     1  197.2      88.1      0.904      0.386  0.930  0.879
     1  247.3      91.7      0.934      0.480  0.953  0.915
     1  212.9      92.1      0.926      0.488  0.930  0.921
     1  232.2      91.0      0.931      0.461  0.953  0.908
     1  239.9      89.5      0.922      0.423  0.953  0.892
     1  202.4      91.3      0.932      0.469  0.953  0.911
     1  218.7      89.1      0.920      0.414  0.953  0.889
     1  189.0      87.3      0.911      0.378  0.953  0.870
     1  213.7      88.4      0.906      0.392  0.930  0.882
     1  198.4      90.3      0.927      0.443  0.953  0.901
     1  218.8      88.5      0.928      0.406  0.977  0.881
     1  225.7      90.8      0.930      0.456  0.953  0.906
     1  258.3      91.6      0.934      0.477  0.953  0.914
     1  264.7      89.2      0.921      0.416  0.953  0.890
     1  268.8      92.0      0.936      0.491  0.953  0.919
