# Instance space size: 4194304 (22 attributes, 44 propositions)
# Training set size..:    80 (0.0 %)
# Validation set size:   187 (0.0 %)
# Imbalance ratio....:    26+ : 54- (32.5 %)

# NB  64.7 (0.563,0.750) 0.650
# ID3 65.2 (0.699,0.595) 0.645
# MLP 65.2 (0.709,0.583) 0.643
# ECL 71.1 (0.690,0.728) 0.709 <==

# Runs   Time  Accuracy  G-measure  F-measure    TPR    TNR

     1   48.0      71.1      0.709      0.682  0.690  0.728
     1   60.5      63.6      0.615      0.558  0.512  0.738
     1   58.7      62.0      0.563      0.482  0.393  0.806
     1   65.1      67.9      0.662      0.615  0.571  0.767
     1   51.7      66.3      0.659      0.627  0.631  0.689
     1   54.1      66.3      0.658      0.623  0.619  0.699
     1   58.8      64.2      0.636      0.599  0.595  0.680
     1   55.6      63.1      0.584      0.511  0.429  0.796
     1   55.9      64.2      0.608      0.544  0.476  0.777
     1   66.5      63.6      0.639      0.622  0.667  0.612
     1   52.1      67.4      0.672      0.643  0.655  0.689
     1   51.3      61.0      0.609      0.583  0.607  0.612
     1   53.5      63.1      0.589      0.517  0.440  0.786
     1   60.5      70.6      0.693      0.654  0.619  0.777
     1   56.0      62.0      0.608      0.559  0.536  0.689
     1   70.3      70.1      0.693      0.659  0.643  0.748
     1   68.6      63.1      0.621      0.577  0.560  0.689
     1   60.8      61.0      0.608      0.578  0.595  0.621
     1   65.3      64.7      0.650      0.641  0.702  0.602
     1   57.0      63.6      0.618      0.564  0.524  0.728
