# Instance space size: 65536 (16 attributes, 32 propositions)
# Training set size..:   186 (0.3 %)
# Validation set size:    46 (0.1 %)
# Imbalance ratio....:    99+ : 87- (53.2 %)

# NB  95.7 (1.000,0.920) 0.960
# ID3 89.1 (0.952,0.840) 0.894
# MLP 93.5 (1.000,0.880) 0.938
# ECL 95.7 (0.960,0.952) 0.956 

# Runs   Time  Accuracy  G-measure  F-measure    TPR    TNR

     1   43.3      95.7      0.956      0.960  0.960  0.952
     1   44.8      91.3      0.915      0.917  0.880  0.952
     1   45.6      95.7      0.959      0.958  0.920  1.000
     1   45.9      91.3      0.915      0.917  0.880  0.952
     1   39.7      93.5      0.936      0.939  0.920  0.952
     1   43.7      95.7      0.956      0.960  0.960  0.952
     1   52.9      95.7      0.959      0.958  0.920  1.000
     1   57.6      93.5      0.936      0.939  0.920  0.952
     1   47.0      95.7      0.956      0.960  0.960  0.952
     1   47.8      95.7      0.956      0.960  0.960  0.952
     1   48.7      89.1      0.892      0.898  0.880  0.905
     1   46.3      97.8      0.980      0.980  0.960  1.000
     1   50.2      89.1      0.894      0.894  0.840  0.952
     1   44.4      95.7      0.956      0.960  0.960  0.952
     1   46.5      95.7      0.956      0.960  0.960  0.952
     1   59.1      93.5      0.938      0.936  0.880  1.000
     1   58.5      93.5      0.936      0.939  0.920  0.952
     1   58.2      97.8      0.980      0.980  0.960  1.000
     1   56.5      93.5      0.936      0.939  0.920  0.952
     1   53.0      93.5      0.936      0.939  0.920  0.952
