# Instance space size: 262144 (6 attributes, 48 propositions)
# Training set size..:  1450 (0.6 %)
# Validation set size:  1451 (0.6 %)
# Imbalance ratio....:    52+ : 1398- (3.6 %)

# NB  57.7 (0.925,0.564) 0.722
# ID3 87.0 (0.633,0.893) 0.752
# MLP 79.6 (1.000,0.788) 0.888
# ECL 94.1 (1.000,0.939) 0.969 <==

# Runs   Time  Accuracy  G-measure  F-measure    TPR    TNR

     1  268.9      88.3      0.937      0.384  1.000  0.878
     1  242.1      93.2      0.910      0.490  0.887  0.934
     1  229.3      94.8      0.972      0.582  1.000  0.946
     1  237.1      85.1      0.920      0.329  1.000  0.845
     1  262.2      94.1      0.969      0.555  1.000  0.939
     1  281.1      92.1      0.958      0.480  1.000  0.918
     1  261.0      92.2      0.959      0.484  1.000  0.919
     1  269.1      76.4      0.861      0.233  0.981  0.756
     1  281.6      62.9      0.784      0.164  1.000  0.614
     1  286.2      97.1      0.985      0.716  1.000  0.970
     1  288.5      94.1      0.969      0.555  1.000  0.939
     1  271.5      73.8      0.846      0.215  0.981  0.729
     1  276.3      95.4      0.940      0.594  0.925  0.955
     1  251.8      90.6      0.950      0.438  1.000  0.903
     1  283.7      89.0      0.941      0.400  1.000  0.886
     1  264.0      92.7      0.961      0.500  1.000  0.924
     1  272.0      92.8      0.962      0.505  1.000  0.926
     1  289.6      92.2      0.959      0.484  1.000  0.919
     1  290.3      89.5      0.891      0.381  0.887  0.895
     1  271.6      67.1      0.811      0.182  1.000  0.658
