# Instance space size:    24 (4 attributes, 9 propositions)
# Training set size..:    19 (79.2 %)
# Validation set size:     5 (20.8 %)
# Imbalance ratio....:     7+ : 12- (36.8 %)

# NB  60.0 (0.500 , 0.667) 0.577
# ID3 60.0 (0.500 , 0.667) 0.577
# MLP 80.0 (1.000 , 0.667) 0.816
# ECL 80.0 (1.000 , 0.667) 0.816

# Runs   Time  Accuracy  G-measure  F-measure    TPR    TNR

     1    0.2      80.0      0.816      0.800  1.000  0.667
     1    0.3      80.0      0.816      0.800  1.000  0.667
     1    0.2      80.0      0.816      0.800  1.000  0.667
     1    0.2      80.0      0.816      0.800  1.000  0.667
     1    0.2      80.0      0.816      0.800  1.000  0.667
     1    0.1      80.0      0.816      0.800  1.000  0.667
     1    0.3      80.0      0.816      0.800  1.000  0.667
     1    0.4      80.0      0.816      0.800  1.000  0.667
     1    0.2      80.0      0.816      0.800  1.000  0.667
     1    0.1      80.0      0.816      0.800  1.000  0.667
     1    0.1      80.0      0.816      0.800  1.000  0.667
     1    0.1      80.0      0.816      0.800  1.000  0.667
     1    0.2      80.0      0.816      0.800  1.000  0.667
     1    0.3      80.0      0.816      0.800  1.000  0.667
     1    0.2      80.0      0.816      0.800  1.000  0.667
     1    0.1      80.0      0.816      0.800  1.000  0.667
     1    0.2      80.0      0.816      0.800  1.000  0.667
     1    0.2      60.0      0.577      0.500  0.500  0.667
     1    0.1      60.0      0.577      0.500  0.500  0.667
     1    0.1      80.0      0.816      0.800  1.000  0.667
