# Instance space size: 1404285820600320 (22 attributes, 125 propositions)
# Training set size..:  4515 (0.0 %)
# Validation set size:  1129 (0.0 %)
# Imbalance ratio....:  2790+ : 1725- (61.8 %)

# NB   97.3 (0.940,0.994) 0.967
# ID3 100.0 (1.000,1.000) 1.000
# MLP 100.0 (1.000,1.000) 1.000
# ECL 100.0 (1.000,1.000) 1.000

# Runs   Time  Accuracy  G-measure  F-measure    TPR    TNR

     1  716.5     100.0      1.000      1.000  1.000  1.000
     1  211.0     100.0      1.000      1.000  1.000  1.000
     1  185.1     100.0      1.000      1.000  1.000  1.000
     1  737.8     100.0      1.000      1.000  1.000  1.000
     1  160.4     100.0      1.000      1.000  1.000  1.000
     1   92.6     100.0      1.000      1.000  1.000  1.000
     1  212.6     100.0      1.000      1.000  1.000  1.000
     1  645.4     100.0      1.000      1.000  1.000  1.000
     1  702.2     100.0      1.000      1.000  1.000  1.000
     1   87.7     100.0      1.000      1.000  1.000  1.000
     1  354.4     100.0      1.000      1.000  1.000  1.000
     1  184.5     100.0      1.000      1.000  1.000  1.000
     1  550.2     100.0      1.000      1.000  1.000  1.000
     1  943.9     100.0      1.000      1.000  1.000  1.000
     1  134.3     100.0      1.000      1.000  1.000  1.000
     1  302.6     100.0      1.000      1.000  1.000  1.000
     1  248.7     100.0      1.000      1.000  1.000  1.000
     1  492.2     100.0      1.000      1.000  1.000  1.000
     1  350.4     100.0      1.000      1.000  1.000  1.000
     1  366.0     100.0      1.000      1.000  1.000  1.000
