% Test data set generated from "mushroom"
% 
% Space: 3488+ (61.8%)  2156- (38.2%)
% Test.: 698+ (61.8%)  431- (38.2%)

@relation mushroom

@attribute Cap_shape {x,b,s,f,k,c}
@attribute Cap_surface {s,y,f,g}
@attribute Cap_color {n,y,w,g,e,p,b,u,c,r}
@attribute Bruises {t,f}
@attribute Odor {p,a,l,n,f,c,y,s,m}
@attribute Gill_attachment {f,a,d,n}
@attribute Gill_spacing {c,w,d}
@attribute Gill_size {n,b}
@attribute Gill_color {k,n,g,p,w,h,u,e,b,r,y,o}
@attribute Stalk_shape {e,t}
@attribute Stalk_root {e,c,b,r,u,z}
@attribute Stalk_surface_above_ring {s,f,k,y}
@attribute Stalk_surface_below_ring {s,f,y,k}
@attribute Stalk_color_above_ring {w,g,p,n,b,e,o,c,y}
@attribute Stalk_color_below_ring {w,p,g,b,n,e,y,o,c}
@attribute Veil_type {p,u}
@attribute Veil_color {w,n,o,y}
@attribute Ring_number {o,t,n}
@attribute Ring_type {p,e,l,f,n,c,s,z}
@attribute Spore_print_color {k,n,u,h,w,r,o,y,b}
@attribute Population {s,n,a,v,y,c}
@attribute Habitat {u,g,m,d,p,w,l}
@attribute Class {0,1}

@data

f,y,n,t,n,f,c,b,n,t,b,s,s,g,w,p,w,o,p,k,v,d,1
f,y,e,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,k,y,d,1
x,f,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,n,a,g,1
x,f,n,f,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,s,g,1
x,f,y,t,l,f,w,n,w,t,b,s,s,w,w,p,w,o,p,u,v,d,1
f,y,n,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,k,v,d,1
f,s,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,n,a,g,1
f,y,y,t,l,f,c,b,n,e,r,s,y,w,w,p,w,o,p,k,s,p,1
f,y,n,t,n,f,c,b,n,t,b,s,s,p,w,p,w,o,p,n,v,d,1
x,y,y,t,l,f,c,b,w,e,r,s,y,w,w,p,w,o,p,n,s,p,1
x,y,g,t,n,f,c,b,n,t,b,s,s,g,p,p,w,o,p,k,y,d,1
x,y,y,t,l,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,g,1
f,f,n,t,n,f,c,b,w,t,b,s,s,g,w,p,w,o,p,n,y,d,1
x,f,n,t,n,f,c,b,u,t,b,s,s,g,w,p,w,o,p,n,y,d,1
x,f,g,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,v,d,1
f,y,n,f,n,f,w,n,w,e,b,f,s,w,n,p,w,o,e,w,v,l,1
x,f,g,f,n,f,w,b,p,t,e,s,f,w,w,p,w,o,e,k,a,g,1
f,s,g,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,n,a,g,1
f,f,n,t,n,f,c,b,n,t,b,s,s,p,g,p,w,o,p,n,v,d,1
k,y,n,f,n,f,c,b,w,e,b,y,y,n,n,p,w,t,p,w,y,p,1
