# Instance space size: 12960 (8 attributes, 27 propositions)
# Training set size..: 10368 (80.0 %)
# Validation set size:  2592 (20.0 %)
# Imbalance ratio....:  6912+ : 3456- (66.7 %)

# NB  100.0 (1.000 , 1.000) 1.000
# ID3 100.0 (1.000 , 1.000) 1.000
# MLP 100.0 (1.000 , 1.000) 1.000
# ECL 100.0 (1.000 , 1.000) 1.000

# Runs   Time  Accuracy  G-measure  F-measure    TPR    TNR

     1    4.6     100.0      1.000      1.000  1.000  1.000
     1   10.3     100.0      1.000      1.000  1.000  1.000
     1   10.9     100.0      1.000      1.000  1.000  1.000
     1   11.3     100.0      1.000      1.000  1.000  1.000
     1    7.4     100.0      1.000      1.000  1.000  1.000
     1   13.5     100.0      1.000      1.000  1.000  1.000
     1   27.0     100.0      1.000      1.000  1.000  1.000
     1    5.9     100.0      1.000      1.000  1.000  1.000
     1   12.4     100.0      1.000      1.000  1.000  1.000
     1    9.9     100.0      1.000      1.000  1.000  1.000
     1   10.8     100.0      1.000      1.000  1.000  1.000
     1   13.6     100.0      1.000      1.000  1.000  1.000
     1   13.5     100.0      1.000      1.000  1.000  1.000
     1    8.7     100.0      1.000      1.000  1.000  1.000
     1   22.8     100.0      1.000      1.000  1.000  1.000
     1    6.0     100.0      1.000      1.000  1.000  1.000
     1   10.5     100.0      1.000      1.000  1.000  1.000
     1    6.0     100.0      1.000      1.000  1.000  1.000
     1   26.6     100.0      1.000      1.000  1.000  1.000
     1   16.3     100.0      1.000      1.000  1.000  1.000
