% Test data set generated from "nursery"
% 
% Space: 8640+ (66.7%)  4320- (33.3%)
% Test.: 1728+ (66.7%)  864- (33.3%)

@relation nursery

@attribute Parents {pretentious,greatpret,usual}
@attribute Hasnurs {critical,verycrit,lessproper,proper,improper}
@attribute Form {incomplete,foster,completed,complete}
@attribute Children {1,3,more,2}
@attribute Housing {critical,lessconv,convenient}
@attribute Finance {inconv,convenient}
@attribute Social {problematic,nonprob,slightlyprob}
@attribute Health {priority,notrecom,recommended}
@attribute Class {1,0}

@data

greatpret,verycrit,foster,1,convenient,inconv,problematic,priority,1
usual,lessproper,foster,more,convenient,inconv,slightlyprob,recommended,1
pretentious,verycrit,foster,3,critical,inconv,problematic,recommended,1
usual,critical,foster,more,lessconv,inconv,problematic,priority,1
pretentious,verycrit,incomplete,more,critical,convenient,slightlyprob,priority,1
greatpret,critical,completed,2,lessconv,convenient,problematic,priority,1
greatpret,verycrit,foster,3,convenient,convenient,slightlyprob,recommended,1
usual,lessproper,foster,1,lessconv,convenient,nonprob,priority,1
pretentious,improper,completed,1,critical,inconv,slightlyprob,priority,1
pretentious,improper,complete,3,critical,convenient,nonprob,recommended,1
greatpret,critical,complete,more,critical,inconv,nonprob,recommended,1
pretentious,critical,incomplete,more,convenient,inconv,problematic,priority,1
pretentious,verycrit,completed,more,convenient,convenient,nonprob,recommended,1
usual,improper,incomplete,more,critical,convenient,problematic,recommended,1
greatpret,lessproper,foster,3,lessconv,inconv,nonprob,recommended,1
usual,verycrit,incomplete,2,convenient,convenient,slightlyprob,recommended,1
pretentious,improper,completed,2,critical,convenient,problematic,recommended,1
greatpret,improper,completed,1,convenient,inconv,slightlyprob,recommended,1
usual,lessproper,foster,3,critical,convenient,problematic,priority,1
pretentious,verycrit,complete,3,critical,inconv,problematic,recommended,1
pretentious,critical,incomplete,more,critical,convenient,problematic,recommended,1
usual,verycrit,foster,2,lessconv,convenient,slightlyprob,recommended,1
pretentious,verycrit,complete,3,convenient,convenient,problematic,priority,1
