# Instance space size:  3888 (8 attributes, 23 propositions)
# Training set size..:    70 (1.8 %)
# Validation set size:    17 (0.4 %)
# Imbalance ratio....:    19+ : 51- (27.1 %)

# NB  76.5 (0.200,1.000) 0.447
# ID3 52.9 (0.200,0.727) 0.381
# MLP 58.8 (0.200,0.750) 0.387
# ECL 63.4 (0.400,0.833) 0.577 <==

# Runs   Time  Accuracy  G-measure  F-measure    TPR    TNR

     1   62.3      35.3      0.000      0.000  0.000  0.500
     1   75.7      58.8      0.516      0.364  0.400  0.667
     1   54.3      64.7      0.408      0.250  0.200  0.833
     1   68.1      47.1      0.500      0.400  0.600  0.417
     1   63.4      70.6      0.577      0.444  0.400  0.833
     1   53.2      64.7      0.408      0.250  0.200  0.833
     1   49.1      58.8      0.387      0.222  0.200  0.750
     1   63.0      58.8      0.516      0.364  0.400  0.667
     1   60.9      58.8      0.516      0.364  0.400  0.667
     1   48.9      58.8      0.387      0.222  0.200  0.750
     1   66.0      52.9      0.483      0.333  0.400  0.583
     1   63.0      58.8      0.516      0.364  0.400  0.667
     1   63.4      64.7      0.548      0.400  0.400  0.750
     1   65.2      64.7      0.632      0.500  0.600  0.667
     1   65.9      47.1      0.000      0.000  0.000  0.667
     1   62.5      52.9      0.365      0.200  0.200  0.667
     1   60.3      47.1      0.342      0.182  0.200  0.583
     1   74.3      29.4      0.000      0.000  0.000  0.417
     1   66.8      58.8      0.387      0.222  0.200  0.750
     1   80.6      64.7      0.548      0.400  0.400  0.750
