# Instance space size: 19683 (9 attributes, 27 propositions)
# Training set size..:   766 (3.9 %)
# Validation set size:   192 (1.0 %)
# Imbalance ratio....:   501+ : 265- (65.4 %)

# NB  72.4 (0.904,0.388) 0.592
# ID3 86.5 (0.925,0.833) 0.878
# MLP 97.4 (0.992,0.940) 0.966
# ECL 98.4 (1.000,0.955) 0.977 <==

# Runs   Time  Accuracy  G-measure  F-measure    TPR    TNR

     1  198.1      91.1      0.869      0.936  0.992  0.761
     1  148.6      89.6      0.838      0.926  1.000  0.701
     1  173.7      97.4      0.976      0.980  0.968  0.985
     1  167.5      92.2      0.881      0.943  1.000  0.776
     1  156.6      89.6      0.838      0.926  1.000  0.701
     1  153.0      98.4      0.977      0.988  1.000  0.955
     1  156.0      94.8      0.922      0.962  1.000  0.851
     1  186.7      89.6      0.838      0.926  1.000  0.701
     1  183.8      89.6      0.838      0.926  1.000  0.701
     1  218.9      91.1      0.864      0.936  1.000  0.746
     1  208.7      90.1      0.880      0.925  0.944  0.821
     1  211.1      91.1      0.892      0.933  0.952  0.836
     1  136.1      89.1      0.829      0.923  1.000  0.687
     1  159.1      84.9      0.846      0.881  0.856  0.836
     1  148.9      89.6      0.838      0.926  1.000  0.701
     1  191.0      96.4      0.946      0.973  1.000  0.896
     1  145.9      89.6      0.838      0.926  1.000  0.701
     1  173.7      89.6      0.838      0.926  1.000  0.701
     1  190.4      89.6      0.838      0.926  1.000  0.701
     1  212.8      89.6      0.885      0.920  0.920  0.851
