# Instance space size: 196608 (16 attributes, 36 propositions)
# Training set size..:    81 (0.0 %)
# Validation set size:    20 (0.0 %)
# Imbalance ratio....:     8+ : 73- (9.9 %)

# NB   90.0 (1.000,0.889) 0.943
# ID3 100.0 (1.000,1.000) 1.000
# MLP 100.0 (1.000,1.000) 1.000
# ECL 100.0 (1.000,1.000) 1.000 <==

# Runs   Time  Accuracy  G-measure  F-measure    TPR    TNR

     1    0.9     100.0      1.000      1.000  1.000  1.000
     1    2.0     100.0      1.000      1.000  1.000  1.000
     1    1.8     100.0      1.000      1.000  1.000  1.000
     1    1.8     100.0      1.000      1.000  1.000  1.000
     1    1.6     100.0      1.000      1.000  1.000  1.000
     1    0.5     100.0      1.000      1.000  1.000  1.000
     1    1.8     100.0      1.000      1.000  1.000  1.000
     1    1.0     100.0      1.000      1.000  1.000  1.000
     1    2.2     100.0      1.000      1.000  1.000  1.000
     1    0.6      90.0      0.687      0.500  0.500  0.944
     1    1.2     100.0      1.000      1.000  1.000  1.000
     1    0.7     100.0      1.000      1.000  1.000  1.000
     1    0.6     100.0      1.000      1.000  1.000  1.000
     1    0.8     100.0      1.000      1.000  1.000  1.000
     1    0.7     100.0      1.000      1.000  1.000  1.000
     1    0.6      95.0      0.972      0.800  1.000  0.944
     1    1.2     100.0      1.000      1.000  1.000  1.000
     1    0.7      95.0      0.972      0.800  1.000  0.944
     1    1.8     100.0      1.000      1.000  1.000  1.000
     1    0.6     100.0      1.000      1.000  1.000  1.000
