File Name,No Disc.,Same Width,Same Frequency,Min. Entropy,Comparação,,
newAbalone.arff,0.4814408,0.5403175,0.5396093,0.5434188,12.23%,12.08%,12.87%
bupa.arff,0.5527536,0.5933333,0.5863768,0.5898551,7.34%,6.08%,6.71%
pima.arff,0.7493490,0.7263021,0.7378906,0.7184896,-3.08%,-1.53%,-4.12%
Ionosphere.arff,0.6410256,0.7760684,0.7780627,0.7700855,21.07%,21.38%,20.13%
wine_classLast.arff,0.9186441,0.9265537,0.9333333,0.9310734,0.86%,1.60%,1.35%
ImageSegmentation_classFirst.arff,0.7021930,0.7802632,0.7859649,0.7723684,11.12%,11.93%,9.99%
glass.arff,0.2771429,0.4719048,0.4704762,0.4595238,70.27%,69.76%,65.81%
appendicitis.arff,0.6601852,0.7750000,0.7861111,0.7842593,17.39%,19.07%,18.79%
balance.arff,0.8984127,0.8071429,0.8042857,0.8138095,-10.16%,-10.48%,-9.42%
ecoli.arff,0.7008850,0.5070796,0.5129794,0.4890855,-27.65%,-26.81%,-30.22%
haberman.arff,0.7323529,0.7245098,0.7274510,0.7267974,-1.07%,-0.67%,-0.76%
hayes-roth.arff,0.4696970,0.6569697,0.6515152,0.6557576,39.87%,38.71%,39.61%
iris.arff,0.8581699,0.9444444,0.9457516,0.9470588,10.05%,10.21%,10.36%
led7digit.arff,0.4224138,0.7402299,0.7396552,0.7486590,75.24%,75.10%,77.23%
mammographic.arff,0.8050542,0.7961492,0.7891697,0.7948255,-1.11%,-1.97%,-1.27%
page-blocks.arff,0.8445434,0.9077394,0.9075538,0.9063289,7.48%,7.46%,7.32%
phoneme.arff,0.7280059,0.7212357,0.7262671,0.7255827,-0.93%,-0.24%,-0.33%
spambase.arff,0.4528593,0.6558817,0.6580996,0.6572081,44.83%,45.32%,45.12%
titanic.arff,0.7647593,0.7729337,0.7728429,0.7733424,1.07%,1.06%,1.12%
vehicle.arff,0.4535024,0.5218599,0.5291063,0.5227053,15.07%,16.67%,15.26%
vowel.arff,0.1352884,0.5228739,0.5266862,0.5214076,286.49%,289.31%,285.40%
winequality-white.arff,0.3796569,0.4813317,0.4809028,0.4797998,26.78%,26.67%,26.38%
wisconsin.arff,0.9660819,0.9704678,0.9701754,0.9720760,0.45%,0.42%,0.62%
yeast.arff,0.2435997,0.5226771,0.5246914,0.5250812,114.56%,115.39%,115.55%
,,,,,,,
,,,,,18,18,18
,,,,,75%,75%,75%
