File Name,No Disc.,Same Width,Same Frequency,Min. Entropy,,,,,,,,,,
newAbalone.arff,0.482539683,0.540512821,0.53973138,0.538754579,1.1201417,1.118522267,1.116497975,,,,,OK,OK,OK
bupa.arff,0.552173913,0.571594203,0.588985507,0.573043478,1.035170604,1.066666666,1.037795275,,,,,OK,OK,OK
pima.arff,0.752604167,0.725130208,0.728125,0.714713542,0.963494809,0.967474048,0.949653979,,,,,NO,NO,NO
Ionosphere.arff,0.641025641,0.775498576,0.780911681,0.772079772,1.209777779,1.218222222,1.204444444,,,,,OK,OK,OK
ecoli_replacedName.arff,0.326548673,0.41740413,0.394985251,0.41179941,1.278229448,1.209575428,1.261065942,,,,,OK,OK,OK
wine_classLast.arff,0.914689266,0.925423729,0.932768362,0.925988701,1.011735639,1.019765287,1.012353304,,,,,OK,OK,OK
ImageSegmentation_classFirst.arff,0.714912281,0.767982456,0.778508772,0.773684211,1.074233128,1.088957055,1.082208589,,,,,OK,OK,OK
glass.arff,0.279047619,0.467142857,0.477619048,0.481904762,1.674061433,1.711604097,1.726962458,,,,,OK,OK,OK
appendicitis.arff,0.719444444,0.777777778,0.782407407,0.799074074,1.081081082,1.087516088,1.110682111,,,,,OK,OK,OK
balance.arff,0.896507937,0.806031746,0.806825397,0.80984127,0.89907932,0.899964589,0.903328612,,,,,NO,NO,NO
ecoli.arff,0.712684366,0.494985251,0.509734513,0.504424779,0.694536424,0.715231787,0.707781457,,,,,NO,NO,NO
haberman.arff,0.747385621,0.729411765,0.729411765,0.723529412,0.975951028,0.975951028,0.968080455,,,,,NO,NO,NO
hayes-roth.arff,0.476969697,0.633939394,0.667878788,0.66,1.32909784,1.40025413,1.383735705,,,,,OK,OK,OK
iris.arff,0.862745098,0.946405229,0.944444444,0.940522876,1.096969697,1.094696969,1.090151515,,,,,OK,OK,OK
led7digit.arff,0.394636015,0.736590038,0.740804598,0.738314176,1.866504855,1.877184468,1.870873787,,,,,OK,OK,OK
mammographic.arff,0.805054152,0.789651023,0.79843562,0.78977136,0.980866965,0.991778774,0.981016442,,,,,NO,NO,NO
page-blocks.arff,0.848923534,0.909446919,0.909001485,0.907219748,1.071294272,1.070769567,1.068670748,,,,,OK,OK,OK
phoneme.arff,0.728283389,0.724084351,0.723103959,0.725231225,0.994234335,0.992888167,0.995809098,,,,,NO,NO,NO
spambase.arff,0.450467493,0.654729289,0.656838443,0.655946945,1.453444031,1.458126176,1.456147125,,,,,OK,OK,OK
titanic.arff,0.767257039,0.776203451,0.779200727,0.774205268,1.011660254,1.015566736,1.009055934,,,,,OK,OK,OK
vehicle.arff,0.462922705,0.521859903,0.525483092,0.517874396,1.127315419,1.135142188,1.118705975,,,,,OK,OK,OK
vowel.arff,0.13313783,0.518475073,0.526588465,0.525513197,3.894273123,3.955212917,3.947136565,,,,,OK,OK,OK
winequality-white.arff,0.382986111,0.476756536,0.477675654,0.481781046,1.244840276,1.247240149,1.257959577,,,,,OK,OK,OK
wisconsin.arff,0.967836257,0.967836257,0.970175439,0.970760234,1,1.002416919,1.003021148,,,,,NO,OK,OK
yeast.arff,0.272319688,0.525860949,0.524301495,0.52014295,1.931042713,1.925316156,1.910045336,,,,,OK,OK,OK
,,,,,,,,,,,,,,
,,72%,76%,76%,,,,,,,,18,19,19
,,,,,,,,,,,,,,
,,,,,,,7,6,6,,,,,
